,0
gpt4o-mini,0.6432098765432098
meta-llama-3.3-70b-instruct,0.6407407407407407
gpt4o,0.6395061728395062
llama-3.1-70b-japanese-instruct-2407,0.6345679012345679
llama-3.1-swallow-70b-instruct-v0.1,0.6148148148148148
llama-3-elyza-jp-8b,0.608641975308642
qwen2.5-32b-instruct,0.5765432098765432
calm3-chat,0.5728395061728395
qwen2.5-7b-instruct,0.5469135802469136
llama-3.1-swallow-8b-instruct-v0.3,0.5382716049382716
eurollm-9b-instruct,0.5345679012345679
qwen2-7b-instruction,0.5222222222222223
qwen2.5-14b-instruct,0.5111111111111111
qwen2.5-3b-instruct,0.5111111111111111
llama-3.1-swallow-8b-instruct-v0.1,0.5111111111111111
gemma-2-27b-it,0.5111111111111111
llama-3.1-swallow-8b-instruct-v0.2,0.5098765432098765
meta-llama-3.1-8b-instruct,0.4962962962962963
meta-llama-3-8b-instruct,0.4802469135802469
tanuki-8x8b-dpo-v1.0,0.4777777777777778
mistral-nemo-instruct-2407,0.4740740740740741
gemma-2-9b-it,0.47160493827160493
swallow-13b-instruct-v0.1,0.4679012345679012
llm-jp-3-13b-insturct,0.45555555555555555
llama-3.2-3b-instruct,0.40617283950617283
gemma-2-2b-it,0.3925925925925926
swallow-7b-instruct-v0.1,0.3395061728395062
llm-jp-3-1.8b-instruct,0.29876543209876544
llm-jp-3-3.7b-instruct,0.2765432098765432
mistral-7b-instruct-v0.2,0.26049382716049385
tanuki-8b-dpo-v1.0,0.2222222222222222
eurollm-1.7b-instruct,0.08641975308641975
llama-3-swallow-70b-instruct-v0.1,0.06790123456790123
llama-3-swallow-8b-instruct-v0.1,0.016049382716049384
